epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3115,1.32658,2.03559,1.45406,0.57476,0.51185,0.52275,0.23635,1.83009,1.61041,1.7525,0.000237635,0.000237635,0.000237635
2,109.154,1.20204,1.48713,1.36538,0.74897,0.53751,0.61415,0.29195,1.87457,1.38496,1.81452,0.000240196,0.000240196,0.000240196
