epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,425.611,1.10489,0.98934,0.61523,0.12683,0.31304,0.04209,0.02018,0.7809,1.55289,0.45316,0.0670506,0.000332822,0.000332822
2,892.661,0.76341,1.05024,0.33745,0.07282,0.32391,0.08669,0.04377,0.59736,1.31213,0.31394,0.0337209,0.000336408,0.000336408
